# Disposition triage for gs.map -- components with NO verdict from curation/status.toml.
# Fill `verdict`: live | closed | gone | delete      (blank = still undecided)
#   live   = real place, entrance edge merely unrecorded -> walk it later
#   closed = exists, shut right now, expected back -> draw, do not route
#   gone   = removed or retired, nothing scheduled -> do not draw
#   delete = bookkeeping stub -> remove the room entirely
# Built ignoring `event transport` edges (seasonal, untraversable out of season).
# The 33 rules in curation/status.toml already cover 5516 rooms and are not listed here.
#
verdict	rooms	anchor	anchor_uid	existing_tags	locations	sample_titles
	53	36012	8022021		Northern Steppes (53)	[Halan Lea, Shore of Khesta'Dahl] | [Halan Lea, Western Track] | [Halan Lea, Western Track]
	50	36547	12102015		<none> (49); Wehnimer's Landing (1)	[Skyship, Storage] | [Skyship, Triage] | [Skyship, Assembly]
	40	28108	8208601		<none> (40)	[Rumor Woods, Gateway] | [Rumor Woods] | [Rumor Woods]
	36	31144	8208501		<none> (36)	[Liraflyswn, Entrance] | [Liraflyswn, Corridor of Stone] | [Liraflyswn, Corridor of Stone]
	29	24898			the Shimmering Mists (29)	[Iyo Village, Fire Pit] | [Iyo Village, Hut] | [Iyo Village, Hut]
	18	30292			the Sea of Fire (18)	[Sea of Fire, Dunes] | [Sea of Fire, Yuvi Qorit] | [Yuvi Qorit, Sandy Path]
	15	34781	1063113		<none> (15)	[Pathway, Recent Work] | [Pathway, Ups and Downs] | [Pathway, Small Clearing]
	15	36603	12102037		<none> (15)	[Skyship, Arches] | [Skyship, The Pits] | [Skyship, Processing]
	10	30595	4002910		Mist Harbor (10)	[Swirling Nexus, Transport Hub] | [Kraken's Fall Room] | [Icemule Trace Room]
	8	10477			Talador (8)	[Hendoran Outpost, Gateway] | [Talador, The Bleaklands] | [Talador, The Bleaklands]
	7	36239	9040301		<none> (7)	[Mariath's Manse, Outside] | [Mariath's Manse, Antechamber] | [Mariath's Manse, Rotunda]
	7	36596	12102026		<none> (7)	[Skyship, The Rows] | [Skyship, Worship] | [Skyship, Hydration]
	6	30154			Ta'Illistim (6)	[Obsidian Acropolis, Propylaeum] | [Obsidian Acropolis, Stoa Elan] | [Obsidian Acropolis, Atelier]
	6	33286	7108001		the Quest Nexus (5); Wehnimer's Landing (1)	[Nexus] | [Distorted Winding Road] | [Distorted Wharf]
	5	31358	409601		<none> (5)	[Garden Sanctuary, Approach] | [Garden Sanctuary, Retreat] | [Garden Sanctuary, Reception]
	4	31434	4740138		the free port of Solhaven (4)	[Solhaven, Dungeon] | [Solhaven, Dungeon] | [Solhaven, Gaol]
	4	36213	4290020		the twin spires of Thanatoph (4)	[The Crossroads] | [The Crossroads, Lounge] | [The Crossroads]
	3	13546			<none> (3)	[Melorra's General Store] | [Melorra's Armory] | [Melorra's General Store]
	3	13835			Solhaven (3)	[Xygon's Weaponry] | [Xygon's General Store] | [Xygon's General Store]
	3	13837			Solhaven (3)	[Xandrya's Outfitting] | [Xandrya's Magic Shoppe] | [Xandrya's Outfitting]
	3	13839			Solhaven (3)	[Morgause's Magic Shoppe] | [Morgause's Outfitting] | [Morgause's Outfitting]
	3	15019			Wehnimer's Landing (3)	[Summerlyn's General Store] | [Summerlyn's Magic Shoppe] | [Summerlyn's General Store]
	3	16382			<none> (3)	[Loelita's Lockpicks] | [Loelita's Outfitting] | [Loelita's Outfitting]
	3	16484			Mist Harbor (3)	[Daelyne's Outfitting] | [Daelyne's Outfitting] | [Daelyne's Outfitting]
	3	16546			Mist Harbor (3)	[The Garnet Moth] | [The Garnet Moth, Boutique] | [The Garnet Moth, Arcana]
	3	16549			<none> (3)	[Maselon's Magic Shoppe] | [Maselon's Outfitting] | [Maselon's Magic Shoppe]
	3	20428			Mist Harbor (3)	[Vivina's General Store] | [Vivina's Outfitting] | [Vivina's Weaponry]
	3	21269	639129		Solhaven (3)	[Enchantment Emporium] | [Enchantment Emporium, Trinkets] | [Enchantment Emporium, Baubles]
	3	23556			Mist Harbor (3)	[Mischung's Weaponry] | [Mischung's Outfitting] | [Mischung's Outfitting]
	3	23558			Mist Harbor (3)	[Alberon's Weaponry] | [Alberon's Outfitting] | [Alberon's General Store]
	3	28666			Ta'Vaalor (3)	[Coliseum Colonnade] | [Coliseum, Elven Lounge] | [Coliseum, Citizen Lounge]
	3	36818	636049		Solhaven (3)	[Shespar's Weaponry] | [Shespar's General Store] | [Shespar's General Store]
	2	3873			<none> (2)	[Mirarte's General Store] | [Mirarte's General Store]
	2	10118	14001001		the Lake of Fear (2)	[Lake of Fear, Ferry] | [Lake of Fear, Ferry Saloon]
delete	2	13103			<none> (2)	duplicate of 13104 | duplicate of 13114
	2	15490			Wehnimer's Landing (2)	[Helden Hall, Cramped Entryway] | [Inside the Iron Maiden]
	2	17646			<none> (2)	[Western Waterway, Harbor] | [Western Waterway, Harbor]
	2	24576	108430		Wehnimer's Landing (2)	[Lowest Environs, Cavern] | [Lowest Environs, Flat Rocks]
	2	26064	211101		Wehnimer's Landing (2)	[Sylvanfair, Summoning Chamber] | [Sylvanfair, Secret Passageway]
	2	34796	1063003		<none> (2)	[Maze, Observation Deck] | [Maze, The Diamond Room]
	2	35799	2014002		Arborsong, inside the island town of Mist Harbor (1); Mist Harbor (1)	[ArborSong, Dungeon] | [ArborSong, Cell]
	1	750		missing:1	<none> (1)	[Hall of Patrons]
	1	1768	29013	no-auto-map:1	nowhere in particular (1)	[Temporal Rift]
delete	1	2951			<none> (1)	duplicate of 2937
delete	1	3630			<none> (1)	duplicate of 2743
	1	3864			<none> (1)	[Kristalis' Outfitting]
	1	3865			<none> (1)	
	1	8614			<none> (1)	
	1	9828	13022150		Maaghara Tower (1)	[Inside Tree, Narrow Tunnel]
	1	10289			<none> (1)	
	1	11239			Ta'Illistim (1)	[Hebe's Outfitting]
	1	11798			Ta'Illistim (1)	[Lwin's General Store]
	1	11800			Ta'Illistim (1)	[Lwin's General Store]
	1	12318			Ta'Illistim (1)	[Lakavelli's General Store]
	1	12378			Ta'Illistim (1)	[Lakavelli's Magic Shoppe]
	1	12497			Ta'Illistim (1)	[Eldaria's Magic Shoppe]
	1	12542			Ta'Illistim (1)	[Eldaria's Outfitting]
delete	1	13126			<none> (1)	duplicate of 13125
delete	1	13190			<none> (1)	duplicate of 1505
delete	1	13191			<none> (1)	duplicate of 1506
	1	13821			<none> (1)	
	1	13862			<none> (1)	[Vender's General Store]
	1	13863			Solhaven (1)	[Vender's General Store]
	1	14457			<none> (1)	
	1	14458			<none> (1)	
	1	14459			<none> (1)	
	1	14462			<none> (1)	
	1	14464			<none> (1)	
	1	14465			<none> (1)	
	1	14590			<none> (1)	[Zzentar's General Store]
	1	14653			Wehnimer's Landing (1)	[Ryhn's Magic Shoppe]
	1	14660	13022151		Maaghara Tower (1)	[Inside Tree, Narrow Tunnel]
	1	14661	13022152		Maaghara Tower (1)	[Inside Tree, Narrow Tunnel]
	1	14662	13022153		Maaghara Tower (1)	[Inside Tree, Narrow Tunnel]
	1	14690			<none> (1)	[Orzel's Outfitting]
	1	15007			Wehnimer's Landing (1)	[Jagar's Weaponry]
	1	15009			<none> (1)	[Crisella's Magic Shoppe]
	1	15101			<none> (1)	[Teiana's General Store]
	1	15159			<none> (1)	
	1	15408			<none> (1)	[Histrion's Magic Shoppe]
	1	15410			<none> (1)	[Neopuron's Magic Shoppe]
	1	15415			<none> (1)	[Neopuron's Weaponry]
	1	15532			<none> (1)	[Sevris' Weaponry]
	1	15629			Old Ta'Faendryl (1)	[In Flight]
	1	15934			<none> (1)	
	1	15947			Wehnimer's Landing (1)	[Eahlstan's General Store]
delete	1	15949			<none> (1)	duplicate of 7989
delete	1	15953			<none> (1)	duplicate of 7988
delete	1	15955			<none> (1)	duplicate of 8751
delete	1	16057			<none> (1)	duplicate of 11238
	1	16089			the Dark Tower, outside the glacier-locked town of Icemule Trace (1)	[A Steep Trail]
	1	16113			the High Plains (1)	[Dark Tower, Great Hall]
	1	16126		no-auto-map:1	the Karazja Jungle (1)	[Karazja Jungle, Path]
	1	16136	5001050	rewritten:1	River's Rest (1)	[Timor's Storage, Hallway]
	1	16398			Ta'Illistim (1)	[Mellindya's Combat Gear]
	1	16827			<none> (1)	[Steia's Outfitting]
	1	16828			<none> (1)	[Tese's Outfitting]
	1	16829			Wehnimer's Landing (1)	[Betyar's Weaponry]
	1	16830			<none> (1)	[Kivsha's Weaponry]
	1	16832			<none> (1)	[Vivaldi's Combat Gear]
	1	16833			<none> (1)	[Vlinch's Outfitting]
	1	16834			<none> (1)	[Aethor's Magic Shoppe]
	1	17195			<none> (1)	
delete	1	17290			<none> (1)	duplicate of 12348
delete	1	17294			<none> (1)	duplicate of 10421
delete	1	17295			<none> (1)	duplicate of 13993
delete	1	17296			<none> (1)	duplicate of 10422
delete	1	17297			<none> (1)	duplicate of 10423
delete	1	17298			<none> (1)	duplicate of 13995
delete	1	17299			<none> (1)	duplicate of 13996
	1	17398			Solhaven (1)	[Wondrious's General Store]
	1	17399			Solhaven (1)	[Windpanguss' Outfitting]
	1	17402			Solhaven (1)	[Ayl's Outfitting]
	1	17792		missing:1	<none> (1)	[A Brown Tent]
	1	17795		gone:1	Wehnimer's Landing (1)	[Zanthie's Wagon]
	1	18090		gone:1	Ta'Vaalor (1)	[Burghal Caravan, Sew What]
	1	18096		gone:1	Ta'Vaalor (1)	[Shades of Velathae]
delete	1	18222			<none> (1)	duplicate of 3676
	1	18749			Wehnimer's Landing (1)	[Rustybeard's Magic Shoppe]
	1	18750			Wehnimer's Landing (1)	[Janlyn's Armory]
	1	18752			<none> (1)	
	1	18754			Wehnimer's Landing (1)	[Solice's General Store]
	1	18797			Icemule Trace (1)	[Zyzax's Magic Shoppe]
	1	18809			Ta'Vaalor (1)	[Naitalya's Magic Shoppe]
delete	1	18813			<none> (1)	duplicate of 14012
	1	19043		closed:1	River's Rest (1)	[A Derelict Hovel]
	1	19283			the Upper Trollfang (1)	[Moat, Bottom]
	1	19284			the Upper Trollfang (1)	[Moat, Underwater]
	1	19285			the Upper Trollfang (1)	[Moat, Whirlpool]
	1	19286			Solhaven (1)	[Prion's General Store]
	1	19287			Solhaven (1)	[Katirena's Outfitting]
	1	19288			Solhaven (1)	[Heust's General Store]
delete	1	19407			<none> (1)	duplicate of 18221
delete	1	19408			<none> (1)	duplicate of 18220
	1	19462			Icemule Trace (1)	[Imraith's Magic Shoppe]
	1	19469			Icemule Trace (1)	[Slatesleeve's General Store]
	1	19475			<none> (1)	
	1	19481			<none> (1)	
	1	19482			Wehnimer's Landing (1)	[Boora's Outfitting]
	1	19483			<none> (1)	
	1	19484			<none> (1)	
	1	19485			<none> (1)	
	1	19488			Wehnimer's Landing (1)	[Kagehisa's General Store]
	1	19492			Wehnimer's Landing (1)	[Athanecia's Weaponry]
	1	19493			Wehnimer's Landing (1)	[Kitruth's Outfitting]
	1	19496			Wehnimer's Landing (1)	[Ana's General Store]
	1	19498			Wehnimer's Landing (1)	[Idratheil's Weaponry]
	1	19500			Wehnimer's Landing (1)	[Siehn's Outfitting]
	1	19501			Wehnimer's Landing (1)	[Masrath's Weaponry]
	1	19502			Wehnimer's Landing (1)	[Chenault's General Store]
	1	19503			<none> (1)	
	1	19504			Wehnimer's Landing (1)	[Eoghain's Weaponry]
	1	19547	13004104		Kharag 'doth Dzulthu (1)	[Kharag 'doth Dzulthu, Tunnels]
	1	20186			<none> (1)	
delete	1	20884			<none> (1)	duplicate of 1979
	1	21264		gone:1	Solhaven (1)	[The Hungry Halfling]
	1	21327			Wehnimer's Landing (1)	[House Brigatta, Garden Bower]
delete	1	22151			<none> (1)	duplicate of 14098
delete	1	22460			<none> (1)	duplicate of 19928
delete	1	23202			<none> (1)	duplicate of 23197
delete	1	23203			<none> (1)	duplicate of 23197
delete	1	23250			<none> (1)	duplicate of 19537
	1	23557			<none> (1)	
	1	23560			<none> (1)	
	1	23563			<none> (1)	
	1	23566			<none> (1)	
	1	23572			<none> (1)	
	1	23573			<none> (1)	
	1	23575			<none> (1)	
	1	23585			<none> (1)	
	1	23586			<none> (1)	
	1	23594			<none> (1)	
	1	23595			<none> (1)	
	1	23599			<none> (1)	
	1	23600			<none> (1)	
	1	23604			<none> (1)	
	1	23605			<none> (1)	
	1	23609			<none> (1)	
	1	23610			<none> (1)	
	1	23615			<none> (1)	
	1	23616			<none> (1)	
	1	23622			<none> (1)	
	1	23623			<none> (1)	
	1	23630			<none> (1)	
delete	1	23651			<none> (1)	duplicate of 13351
	1	23910			Mist Harbor (1)	[Ondreian's Outfitting]
	1	23912			Mist Harbor (1)	[Ondreian's Magic Shoppe]
	1	23914			Mist Harbor (1)	[Ondreian's Outfitting]
	1	23916			Mist Harbor (1)	[Ondreian's Outfitting]
delete	1	23917			<none> (1)	duplicate of 3872
delete	1	23918			<none> (1)	duplicate of 3872
delete	1	23919			<none> (1)	duplicate of 3869
delete	1	23920			<none> (1)	duplicate of 3869
delete	1	23921			<none> (1)	duplicate of 12265
delete	1	23922			<none> (1)	duplicate of 12265
delete	1	23987			<none> (1)	duplicate of 13925
delete	1	23988			<none> (1)	duplicate of 10681
delete	1	23989			<none> (1)	duplicate of 13925
	1	24061			<none> (1)	
	1	24062			<none> (1)	
	1	24063			Wehnimer's Landing (1)	[House Brigatta, Memorial Garden]
	1	24256			Ta'Illistim (1)	[Elven Enchantment, By Night]
delete	1	24531			<none> (1)	duplicate of 3111
delete	1	24671			<none> (1)	duplicate of 24644
delete	1	24812			<none> (1)	duplicate of 23885
	1	25184			<none> (1)	[Inside the Wagon]
	1	25490			Wehnimer's Landing (1)	[Mikalmas's General Store]
	1	25498			<none> (1)	
delete	1	25644			<none> (1)	duplicate of 25643
delete	1	25778			<none> (1)	duplicate of 25775
	1	25789			Coral Villa, outside the island town of Mist Harbor (1)	[Coral Island, Living Room]
	1	25790			Coral Villa, outside the island town of Mist Harbor (1)	[Coral Island, Master Bedroom]
	1	25791			Coral Villa, outside the island town of Mist Harbor (1)	[Coral Island, Kitchen]
	1	25792			Coral Villa, outside the island town of Mist Harbor (1)	[Coral Island, Garden]
	1	25793			Coral Villa, outside the island town of Mist Harbor (1)	[Coral Island, Private Beach]
	1	25794			Coral Villa, outside the island town of Mist Harbor (1)	[Tiny Cove, Swimming Lagoon]
	1	25795			Coral Villa, outside the island town of Mist Harbor (1)	[Coral Island, Guest Bedroom]
	1	25866			Wehnimer's Landing (1)	[Mikalmas's Armory]
	1	25867			Wehnimer's Landing (1)	[Mikalmas's General Store]
	1	25868			Wehnimer's Landing (1)	[Mikalmas's Weaponry]
