# META -- 48 namespaces
# count	namespace	value
2401	playershop	
62	che	House of the Argent Aspis
60	che	Helden Hall
57	che	Willow Hall
56	che	House Sovyn
55	che	Cairnfang Manor
54	che	Obsidian Tower
51	che	Twilight Hall
44	che	House of Paupers
43	che	House Sylvanfair
42	che	Silvergate Inn
42	che	Silvergate Manor
41	che	Beacon Hall Archive
40	che	Moonstone Abbey
38	che	White Haven
31	che	House of the Rising Phoenix
30	che	House Brigatta
19	che	paupers:locker
18	che	silvergate_inn:locker
17	che	paupers:entrance_locker
17	che	silvergate_inn:entrance_locker
16	che	twilight_hall:locker
14	che	cairnfang_manor:locker
13	che	arcane_masters:entrance_locker
13	che	arcane_masters:locker
13	che	brigatta:entrance_locker
13	che	brigatta:locker
13	che	cairnfang_manor:entrance_locker
13	che	sovyn:entrance_locker
13	che	sovyn:locker
13	che	sylvanfair:locker
13	che	twilight_hall:entrance_locker
13	che	white_haven:locker
13	che	willow_hall:locker
12	che	helden_hall:entrance_locker
12	che	helden_hall:locker
12	che	rone_academy:locker
12	che	sylvanfair:entrance_locker
12	che	willow_hall:entrance_locker
11	che	argent_aspis:locker
11	che	rone_academy:entrance_locker
11	che	white_haven:entrance_locker
10	che	arcane_masters:entrance_annex
10	che	argent_aspis:entrance
10	che	brigatta:entrance_annex
10	che	cairnfang_manor:entrance_annex
10	che	helden_hall:entrance_annex
10	che	paupers:entrance_annex
10	che	rone_academy:entrance_annex
10	che	sovyn:entrance_annex
10	che	sylvanfair:entrance_annex
10	che	twilight_hall:entrance_annex
10	che	white_haven:entrance_annex
10	che	willow_hall:entrance_annex
9	che	silvergate_inn:entrance_annex
3	che	beacon_hall:locker
2	che	obsidian_tower:locker
1	che	Arcane Masters
1	che	arcane_masters:entrance_che
1	che	brigatta:entrance_che
1	che	cairnfang_manor:entrance_che
1	che	helden_hall:entrance_che
1	che	obsidian_tower:entrance_annex
1	che	obsidian_tower:entrance_che
1	che	obsidian_tower:entrance_locker
1	che	paupers:entrance_che
1	che	rone_academy:entrance_che
1	che	silvergate_inn:entrance_che
1	che	sovyn:entrance_che
1	che	sylvanfair:entrance_che
1	che	twilight_hall:entrance_che
1	che	white_haven:entrance_che
1	che	willow_hall:entrance_che
667	nomagic	
211	fest	grawood
186	fest	anfelt
113	fest	velathae
75	fest	highman
4	fest	fof
1	fest	frontier
65	mapcategory	Wehnimer's Landing
53	mapcategory	Guilds
43	mapcategory	Elven Nations
41	mapcategory	Icemule Trace
22	mapcategory	CHE
20	mapcategory	Vornavis
17	mapcategory	River's Rest
17	mapcategory	Teras Isle
15	mapcategory	Premium
14	mapcategory	Events and Festivals
14	mapcategory	Towns
13	mapcategory	Zul Logoth
12	mapcategory	MHO
10	mapcategory	Isle of the Four Winds
6	mapcategory	Kraken's Fall
5	mapcategory	Neighborhoods
4	mapcategory	Other
4	mapcategory	Quests
1	mapcategory	CHE:Twilight Hall Annex (Elven Nations)
1	mapcategory	Dyer's Tents:Cysaegir
1	mapcategory	Dyer's Tents:Icemule Trace
1	mapcategory	Dyer's Tents:Isle of the Four Winds
