room_id	uids	title	location	region	region_src	area	area_src	status	event	sense	doors
0	13107012	[Moonglae Inn, Atrium]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	23
1	13107402	[Cat's Paw Table]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	1
2	13107401	[Hammer Table]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	0
3	13107406	[Guardian Table]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	0
4	278902	[Zul Logoth, Winding Tunnels]	Zul Logoth	Zul Logoth / Kharag 'doth Dzulthu	mapdb			gone		indoor	0
5	13107002	[Moonglae Inn, North Lobby]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	2
6	13107001	[Moonglae Inn, South Lobby]	the Moonglae Inn	Ta'Illistim	mapdb	the Moonglae Inn	mapdb location	live		indoor	1
7	13101017	[Ta'Illistim, BriarStone Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
8	13101019	[Ta'Illistim, BriarStone Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	2
9	13103002	[Bank of Ta'Illistim, Lobby]	Ta'Illistim	Ta'Illistim	mapdb	Ta'Illistim	mapdb location	live		indoor	2
10	13101023	[Ta'Illistim, BriarStone Court]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
11	13103004	[United Bank of City-States]	Ta'Illistim	Ta'Illistim	mapdb	Ta'Illistim	mapdb location	live		indoor	1
13	13100087	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
14	13100088	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
15	13100089	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
16	13100090	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	1
17	13100076	[Ta'Illistim, Erissian Var]	Ta'Illistim	Ta'Illistim	mapdb	taillistim-town	official layout	live		outdoor	0
