# TAGS -- 1460 distinct after exclusions
# count	locations	tag
5597	164	withered mushroom
5184	144	no forageables
4435	154	soft mushroom
3465	123	wild rose
1986	89	cherry peppers
1986	89	fresh catnip
1986	89	peppermint leaves
1986	89	small watermelon
1964	69	birch bark
1723	86	curly leaf parsley
1723	86	flat-leaf parsley
1723	86	sprig of tarragon
1699	74	ghost pepper
1692	73	hot pepper
1683	89	trollear mushroom
1669	81	round yuzu
1599	91	sovyn clove
1528	59	dwarf bilberry
1515	84	sun-wilted tea leaves
1240	73	wild rice
1200	45	arbutus berry
1200	45	crystal-like sylthiel
1200	45	ghostly blue aplixta
1200	45	violet sel'elun vine
1171	55	viburnum twig
1114	70	thistle seeds
962	50	blood orange
954	58	safflower seeds
938	49	coffee cherries
938	49	grapefruit
929	50	creamy white wisteria
929	50	dark blue wisteria
929	50	deep purple wisteria
929	50	pale rose pink wisteria
929	50	purple datura blossom
929	50	white datura blossom
929	50	yellow datura blossom
928	50	pink oleander
928	50	red oleander
928	50	white oleander
897	33	dwarf billberry
842	52	butterfly pea flower
842	52	mate leaves
810	51	black tea leaves
810	51	green tea leaves
810	51	purple tea leaves
810	51	tea leaves
810	51	white tea leaves
798	24	closed
792	41	blaestonberries
759	37	round grumbleberry
712	51	bright orange
681	45	pearl onions
671	29	red thanot berry
657	31	thanot thorn
638	38	white ramie
617	40	curly garlic scapes
550	34	green soybean pod
550	27	off-white parsnip
544	36	horseradish root
524	28	golden yellow shadesbane
523	31	golden flax fronds
517	45	urchin-access
491	28	black mushroom
491	28	red mushroom
429	33	cantaloupe
429	33	pale green honeydew
426	37	lemon verbena
415	42	round red radish
399	41	thin hemp
399	37	willow twig
389	30	honeymoon melon
367	34	lemon balm
367	35	trafel mushroom
366	35	vert globe artichoke
363	21	cone-shaped pineapple
347	30	yellow carrot
337	18	vibrant green plantain
318	50	private property
312	17	bright yellow plantain
312	17	small green quenepas
303	40	sprig of rooibos
285	16	cassava root
281	16	silver-edged fern
275	11	silver iceblossom
261	12	jasmine floret
231	9	resting poppy
226	22	yellowed salt reedgrass
222	29	golden mushroom
212	74	node
208	10	thorny wintersbite
206	11	coral orchid
206	11	creamy white hibiscus
206	11	dark yellow orchid
206	11	fuchsia pink hibiscus
206	11	ochre monkey orchid
206	11	orange ginger lilies
206	11	pale pink orchid
195	18	macadamia nuts
194	4	feverfew stalk
194	18	sky-blue delphira
191	10	bamboo cane
189	8	bright yellow sunwort
187	13	Vornavian orange
187	13	orange-red apple
187	22	tanik twig
173	4	Stormpeak mushroom
173	4	Titan Crown mushroom
173	4	fizzlefire mushroom
173	4	gilded mushroom
173	4	silversaph mushroom
168	10	dusky pink sea thrift
160	3	blueglow mushroom
160	3	ebon nightspark mushroom
160	3	mountainglow mushroom
159	12	pine twig
152	8	white crallisberry
145	8	glassfern frond
145	13	gone
144	8	crimson-flecked rose
143	19	spring onion
140	9	rewritten
138	11	incarnadine rose
138	11	periwinkle musk rose
135	22	no-auto-map
131	8	ember orange rose
131	16	green garden cucumber
131	10	peacock green rose
131	10	pearlescent rose
130	12	blue-green marshgrass
128	11	blades of cordgrass
128	11	feathery mannagrass
128	11	saltmeadow cordgrass
119	18	mulberry fronds
114	11	round hazelnuts
112	7	durable stick
112	8	spruce twig
108	5	peacock's tail
104	2	bract of sea spurge
102	5	tiny white elderflowers
102	6	violet shining rose
96	11	long green okra
91	35	supernode
90	1	dobrem
89	5	giant's lace
89	5	green glacierberry
89	11	public locker
89	11	publiclockers
87	7	purple carrot
84	1	white-belled wintergreen
83	2	laurel twig
80	6	phoenix palm frond
76	11	sunny yellow sylara'wor
75	6	aubergine hellebore
75	6	deep orange sirensong
75	6	sanguine blood rose
75	6	silver bay rose
75	6	tangerine butterflyweed
74	9	white cotton boll
70	6	glowing green lichen
67	2	seedhead of beebalm
66	9	coastal sword sedge
63	1	bluish lilac agapanthus
63	1	white agapanthus
62	1	acistira stem
62	1	black-red fritillary
62	1	blackish green twisted-fan
62	1	checkered fritillary
62	1	green acistira leaves
62	1	pinkish green rosegrass
62	1	vert and orange frog-cup
62	1	violet fritillary
62	1	yellowish green twisted-fan
57	1	snake's head fritillary
56	11	deep green fescue
56	2	war troll
54	5	deep crimson plumeria
54	2	reddish purple bougainvillea
54	9	rogue guild dirt
53	1	random-paths
52	7	missing
51	9	rogue guild window
51	9	sorcerer alchemy workshop
50	1	wraith's hand dianthus
49	9	cleric alchemy workshop
49	4	mistwood twig
49	9	wizard alchemy workshop
47	9	empath alchemy workshop
47	9	rogue guild plant
45	5	creamy ivory plumeria
44	6	warrior guild leaves
44	7	warrior guild shrubbery
42	7	alabaster moonflower
42	7	black bat flower
42	2	blue snow rose
42	7	canna lily
42	7	carmine torch ginger
42	7	jungle geranium blossoms
42	7	pink aechmea spike
42	7	pink flamingo flower
42	2	snowy arctic rose
42	7	warrior guild floor
42	2	white arctic rose
42	7	white calla lily
41	28	table
40	7	warrior guild armor
39	1	dybbuk
39	1	eidolon
39	2	feather clover bloom
39	6	ivory tea rose
39	1	tangerine scholar's-folly
39	1	veilmist rose
39	1	waern
38	1	vesperti
37	1	arctic titan
37	3	cabbage rose
37	1	frost giant
37	1	ice troll
37	2	skeleton
37	3	virescent rose
37	2	wraith
36	27	bank
36	2	winterbriar moss
35	1	sea oats
35	1	white sea kale
34	2	fragrant pink oleander
34	2	fragrant red oleander
34	2	fragrant white oleander
34	1	kobold
33	1	giant fog beetle
33	1	hooded figure
31	2	bone golem
31	1	chain fern leaf
31	3	pale apricot rose
31	3	peach-blushed rose
31	3	periwinkle blue hibiscus
31	1	vivid leafy orchids
31	1	waxy red copihue
30	3	cerise queen protea
30	3	flared king protea
30	2	green vine
30	7	reddish-orange persimmon
28	2	clasping bellflower
28	2	crimson clover inflorescence
28	1	huge fire elemental
28	1	huge lava elemental
28	1	huge lightning elemental
28	1	huge steam elemental
28	2	pale purple spiderwort
28	1	ruddy mangrove bark
28	1	snow rose
28	2	violet-tinged speedwell
27	1	bone mushroom
27	1	brown sargassum
27	1	crested basilisk
27	1	kiramon defender
27	1	kiramon worker
27	1	match lichen
26	1	forest troll
26	1	ghostly pooka
26	3	heath star moss
26	5	iseya lichen
25	2	evermore rosehip
25	1	huge air elemental
25	1	huge earth elemental
25	1	huge ice elemental
25	1	huge water elemental
25	2	jagged boneset leaf
25	2	marigold blossoms
25	13	trash
25	1	white scroll algae
24	2	dark apparition
23	1	arctic willow
23	1	blue snow gentian
23	1	campanella rose
23	2	clove pink flower
23	1	fuchsia whorled heather
23	1	glossy red bearberries
23	2	hawksbeard blossom
23	2	orange milkweed flowers
23	2	pink redstem filaree
23	1	purple saxifrage
23	1	purplish red fireweed
23	2	red reishi mushroom
23	1	roa'ter
23	2	vibrant yellow forsythia
23	1	white dwarf birch
23	1	white pearl yarrow
23	1	white-tufted grass
23	1	yellow saxifrage
21	1	bay centaur
21	1	black centaur
21	4	coldleaf tobacco
21	13	exit
21	1	greater spider
21	16	inn
21	20	pawnshop
21	1	roan centaur
21	1	silverback orc
21	1	tan centaur
21	21	town
21	1	white centaur
20	1	fire cat
20	1	fire rat
20	19	furrier
20	19	gemshop
20	2	no-magic
20	3	pineapple sage
19	2	arch wight
19	1	monastic lich
19	5	pink wild rose
19	5	rabbit's ear rose
18	13	advguard
18	1	amethyst monk's pepper
18	2	bittermere lichen
18	1	coral-bristled bottlebrush
18	1	dark carob pod
18	1	dragon's blood flower
18	1	flowering lemon balm
18	1	golden yellow quince
18	1	goldfinger flower
18	1	goldfinger leaf
18	17	herbalist
18	1	magru
18	1	mountain tea leaves
18	1	off-white rock samphire
18	1	pale green guavasteen
18	1	plum clematis
18	1	red Ornathian pepper
18	1	sea nymph
18	1	shaggy cypress bark
18	2	sprig of green chervil
18	16	tables
18	2	vermilion fire moss
18	7	warrior guild iceblocks
18	1	white-bristled bottlebrush
18	1	woolgarie bur
16	15	alchemist
16	1	black bear
16	1	blue iceblossom
16	1	great boar
16	1	lesser vruul
16	1	mist wraith
16	15	urchin-hideout
16	2	white water crowfoot
16	15	workshop
15	1	foe:direbear
15	1	foe:direwolf
15	1	foe:warped tree spirit
15	14	mail
15	1	massive black boar
15	1	phantom
15	14	postoffice
15	1	white sea daffodil
15	1	white vysan
15	1	winged viper
14	13	debts
14	2	lacy mountain hydrangea
14	13	locksmith
14	1	nedum vereri
14	3	pink baldhip rose
14	1	shelfae chieftain
13	13	consignment
13	3	fleshy mulehoof
13	12	general store
13	1	lady's smock blossom
13	13	locksmith pool
13	13	locksmithpool
13	13	npchealer
13	12	pawn
13	1	spectral monk
13	13	urchin guide postoffice
13	13	urchin guide tables
13	11	weaponshop
13	1	wind wraith
12	8	advguild
12	12	alchemy
12	12	armorshop
12	1	blue robin flower
12	1	climbing rose
12	1	ecru wood sorrel
12	1	fern-leaf lavender
12	1	green rose succulent
12	1	hobgoblin
12	1	linden twig
12	1	lobe-leafed bearberry
12	12	locksmith shop
12	1	mountain snowcat
12	1	sky blue clustervine
12	1	snow spectre
12	12	urchin guide alchemy
12	12	urchin guide armor
12	12	urchin guide bank
12	12	urchin guide furrier
12	12	urchin guide gemshop
12	12	urchin guide herbalist
12	12	urchin guide locksmithpool
12	7	warrior guild icetub
12	7	warrior guild masters
12	1	zombie
11	1	Sheruvian harbringer
11	11	armor
11	1	bright yellow craspedia
11	1	bulb of witch's garlic
11	11	chronomage
11	11	collectibles
11	1	cyclops
11	11	forge
11	1	frilled white rockrose
11	1	greater ice spider
11	1	green storax leaf
11	11	guard
11	11	houselockers
11	11	jail
11	11	justice
11	11	lumnis donate
11	11	lumnisdonate
11	1	massive troll king
11	1	meadow saffron
11	1	nightmare steed
11	11	npccleric
11	11	portmaster
11	1	purple autumn squill
11	2	purple bearded iris
11	9	sanctuary
11	1	snowy cockatrice
11	1	sowbread flower
11	1	sprig of restharrow
11	11	stable
11	11	townhall
11	11	travel waiting room
11	7	urchin guide bounty
11	11	urchin guide collectibles
11	11	urchin guide debts
11	11	urchin guide guard
11	11	urchin guide inn
11	11	urchin guide justice
11	11	urchin guide locksmith
11	11	urchin guide pawn
11	11	urchin guide townhall
11	11	urchin guide weapons
11	11	urchin guide weddinghall
11	11	weapons
11	1	zombie rolton
10	9	bard guild
10	9	bardguild
10	9	bhalocker
10	6	bounty
10	1	copper tea flower
10	3	dark shambler
10	10	dyers
10	10	fletcher
10	1	foe:minotaur warrior
10	10	handler
10	1	locker:public
10	10	movers
