# TAGS -- 1120 classification tags
# count	locations	tag	note
5184	144	no forageables	1% beside herbs
798	24	closed	0% beside herbs
517	45	urchin-access	65% beside herbs
318	50	private property	31% beside herbs
212	74	node	58% beside herbs
168	10	dusky pink sea thrift	77% beside herbs
145	13	gone	1% beside herbs
140	9	rewritten	0% beside herbs
135	22	no-auto-map	11% beside herbs
108	5	peacock's tail	66% beside herbs
104	2	bract of sea spurge	60% beside herbs
102	5	tiny white elderflowers	25% beside herbs
91	35	supernode	77% beside herbs
90	1	dobrem	71% beside herbs
89	11	public locker	35% beside herbs
89	11	publiclockers	35% beside herbs
84	1	white-belled wintergreen	0% beside herbs
67	2	seedhead of beebalm	64% beside herbs
66	9	coastal sword sedge	85% beside herbs
62	1	acistira stem	0% beside herbs
62	1	black-red fritillary	0% beside herbs
62	1	blackish green twisted-fan	0% beside herbs
62	1	checkered fritillary	0% beside herbs
62	1	green acistira leaves	0% beside herbs
62	1	pinkish green rosegrass	0% beside herbs
62	1	vert and orange frog-cup	0% beside herbs
62	1	violet fritillary	0% beside herbs
62	1	yellowish green twisted-fan	0% beside herbs
57	1	snake's head fritillary	0% beside herbs
54	9	rogue guild dirt	0% beside herbs
52	7	missing	2% beside herbs
51	9	rogue guild window	0% beside herbs
51	9	sorcerer alchemy workshop	0% beside herbs
49	9	cleric alchemy workshop	0% beside herbs
49	9	wizard alchemy workshop	53% beside herbs
47	9	empath alchemy workshop	0% beside herbs
47	9	rogue guild plant	0% beside herbs
44	6	warrior guild leaves	11% beside herbs
44	7	warrior guild shrubbery	16% beside herbs
42	7	warrior guild floor	0% beside herbs
41	28	table	29% beside herbs
40	7	warrior guild armor	0% beside herbs
39	1	dybbuk	5% beside herbs
39	1	eidolon	5% beside herbs
39	1	tangerine scholar's-folly	79% beside herbs
39	1	veilmist rose	79% beside herbs
39	1	waern	5% beside herbs
38	1	vesperti	76% beside herbs
37	2	skeleton	89% beside herbs
37	2	wraith	70% beside herbs
36	27	bank	19% beside herbs
36	2	winterbriar moss	0% beside herbs
30	2	green vine	80% beside herbs
27	1	kiramon defender	0% beside herbs
27	1	kiramon worker	0% beside herbs
26	3	heath star moss	31% beside herbs
25	2	evermore rosehip	0% beside herbs
25	2	jagged boneset leaf	0% beside herbs
25	2	marigold blossoms	0% beside herbs
25	13	trash	52% beside herbs
24	2	dark apparition	46% beside herbs
23	1	arctic willow	0% beside herbs
23	1	blue snow gentian	0% beside herbs
23	1	campanella rose	0% beside herbs
23	1	glossy red bearberries	0% beside herbs
23	2	orange milkweed flowers	0% beside herbs
23	1	purple saxifrage	0% beside herbs
23	1	purplish red fireweed	0% beside herbs
23	2	red reishi mushroom	0% beside herbs
23	1	white dwarf birch	0% beside herbs
23	1	white pearl yarrow	0% beside herbs
23	1	white-tufted grass	0% beside herbs
23	1	yellow saxifrage	0% beside herbs
21	13	exit	14% beside herbs
21	16	inn	52% beside herbs
21	20	pawnshop	38% beside herbs
21	21	town	62% beside herbs
20	19	furrier	45% beside herbs
20	19	gemshop	50% beside herbs
20	3	pineapple sage	55% beside herbs
19	2	arch wight	5% beside herbs
19	1	monastic lich	0% beside herbs
18	13	advguard	83% beside herbs
18	2	bittermere lichen	0% beside herbs
18	17	herbalist	50% beside herbs
18	2	sprig of green chervil	0% beside herbs
18	16	tables	44% beside herbs
18	2	vermilion fire moss	0% beside herbs
18	7	warrior guild iceblocks	0% beside herbs
16	15	alchemist	31% beside herbs
16	1	blue iceblossom	0% beside herbs
16	1	lesser vruul	0% beside herbs
16	15	urchin-hideout	0% beside herbs
16	15	workshop	25% beside herbs
15	14	mail	40% beside herbs
15	1	phantom	73% beside herbs
15	14	postoffice	40% beside herbs
15	1	white sea daffodil	73% beside herbs
15	1	white vysan	73% beside herbs
14	13	debts	50% beside herbs
14	13	locksmith	50% beside herbs
14	1	nedum vereri	21% beside herbs
14	1	shelfae chieftain	36% beside herbs
13	13	consignment	54% beside herbs
13	12	general store	46% beside herbs
13	13	locksmith pool	85% beside herbs
13	13	locksmithpool	85% beside herbs
13	13	npchealer	54% beside herbs
13	12	pawn	54% beside herbs
13	1	spectral monk	0% beside herbs
13	13	urchin guide postoffice	46% beside herbs
13	13	urchin guide tables	46% beside herbs
13	11	weaponshop	31% beside herbs
13	1	wind wraith	8% beside herbs
12	8	advguild	42% beside herbs
12	12	alchemy	50% beside herbs
12	12	armorshop	58% beside herbs
12	12	locksmith shop	42% beside herbs
12	1	snow spectre	0% beside herbs
12	12	urchin guide alchemy	50% beside herbs
12	12	urchin guide armor	42% beside herbs
12	12	urchin guide bank	42% beside herbs
12	12	urchin guide furrier	50% beside herbs
12	12	urchin guide gemshop	50% beside herbs
12	12	urchin guide herbalist	50% beside herbs
12	12	urchin guide locksmithpool	83% beside herbs
12	7	warrior guild icetub	0% beside herbs
12	7	warrior guild masters	8% beside herbs
12	1	zombie	8% beside herbs
11	11	armor	45% beside herbs
11	11	chronomage	82% beside herbs
11	11	collectibles	45% beside herbs
11	11	forge	64% beside herbs
11	11	guard	73% beside herbs
11	11	houselockers	55% beside herbs
11	11	jail	36% beside herbs
11	11	justice	36% beside herbs
11	11	lumnis donate	82% beside herbs
11	11	lumnisdonate	82% beside herbs
