region	area
Ta'Illistim	Yegharren Plains
Ta'Illistim	Gyldemar Forest
Ta'Illistim	Gyldemar Green
Ta'Illistim	Black Moor
Ta'Illistim	Gossamer Valley
Ta'Illistim	Old Ta'Faendryl
Ta'Illistim	Blighted Forest
Ta'Illistim	Maaghara Tower
Ta'Illistim	Temple Wyneb
Ta'Illistim	Griffin's Keen
Ta'Illistim	Seethe Naedal
Ta'Illistim	Wraithenmist
Ta'Illistim	Orcswold
Ta'Illistim	Emerald Forest
Ta'Illistim	Teorainn Dale
Ta'Vaalor	Ant Hill
Ta'Vaalor	Rambling Meadows
Ta'Vaalor	Catacombs (Ta'Vaalor)
Ta'Vaalor	Briar Thicket
Ta'Vaalor	Fearling Pass
Ta'Vaalor	Fethayl Bog
Ta'Vaalor	Yander's Farm
Ta'Vaalor	Glaise Cnoc Cemetery
Ta'Vaalor	Neartofar Forest
Ta'Vaalor	The Toadwort
Ta'Vaalor	Lunule Weald
Wehnimer's Landing	Castle Anwyn
Wehnimer's Landing	Catacombs (Wehnimer's Landing)
Wehnimer's Landing	Wehntoph
Wehnimer's Landing	Upper Trollfang
Wehnimer's Landing	Sentoph
Wehnimer's Landing	Temple of Love
Wehnimer's Landing	Spider Temple
Wehnimer's Landing	Abandoned Mine
Wehnimer's Landing	Lysierian Hills
Wehnimer's Landing	Old Mine Road
Wehnimer's Landing	Wolves' Den
Wehnimer's Landing	Luinne Bheinn
Wehnimer's Landing	Dubh Brugh
Wehnimer's Landing	Shores of Lough Ne'Halin
Wehnimer's Landing	The Monastery
Wehnimer's Landing	The Broken Lands
Wehnimer's Landing	The Graveyard
Wehnimer's Landing	Shadow Valley
Wehnimer's Landing	Darkstone Castle
Wehnimer's Landing	Stone Valley
Wehnimer's Landing	Thanatoph
Wehnimer's Landing	Stronghold
Wehnimer's Landing	Hanging Inn
Wehnimer's Landing	Ocoma Vale
Wehnimer's Landing	Coastal Cliffs
Wehnimer's Landing	Cavernhold
Zul Logoth	Czeroth Caverns
Zul Logoth	Mraent Cavern
Zul Logoth	Zaerthu Tunnels
Zul Logoth	Troll Burial Grounds
Teras Isle	Abandoned Mines
Teras Isle	Glaes Caverns
Teras Isle	Eye of V'tull
Teras Isle	Fhorian Village
Teras Isle	Lava Flows
Teras Isle	Temple of Luukos
River's Rest	The Citadel
River's Rest	Hidden Vale
River's Rest	Karazja Jungle
River's Rest	Krolvin Carrack
River's Rest	Krolvin Ship
River's Rest	Oteska's Haven
River's Rest	Marsh Keep
River's Rest	Miasmal Forest
River's Rest	River Tunnels
River's Rest	Ruined Tower
River's Rest	Shattered Moors
River's Rest	Troll Lair
Vornavis/Solhaven	Bonespear Tower
Vornavis/Solhaven	Castle Varunar
Vornavis/Solhaven	Cairnfang Forest
Vornavis/Solhaven	West Road
Vornavis/Solhaven	Deep Woods
Vornavis/Solhaven	Zortahg
Vornavis/Solhaven	Outlands
Vornavis/Solhaven	North Beach
Vornavis/Solhaven	South Beach
Vornavis/Solhaven	Beached Hulk
Vornavis/Solhaven	Foggy Valley
Vornavis/Solhaven	The Lake
Vornavis/Solhaven	Forest Road
Vornavis/Solhaven	Wooded Plains
Vornavis/Solhaven	Noman's Land
Vornavis/Solhaven	Peasant Holdings
Icemule Trace & Pinefar	Abandoned Farm
Icemule Trace & Pinefar	Aenatumgana
Icemule Trace & Pinefar	Arctic Tundra
Icemule Trace & Pinefar	Cave of Ice
Icemule Trace & Pinefar	Crawling Shore
Icemule Trace & Pinefar	Den of Rot
Icemule Trace & Pinefar	Drake's Shrine
Icemule Trace & Pinefar	Frozen Battlefield
Icemule Trace & Pinefar	Frozen Bramble
Icemule Trace & Pinefar	Ice Plains
Icemule Trace & Pinefar	Icemule Pioneer Cemetary
Icemule Trace & Pinefar	Moonsedge
Icemule Trace & Pinefar	Nightmare Gorge
Icemule Trace & Pinefar	Olbin Pass
Icemule Trace & Pinefar	Snow Fort
Icemule Trace & Pinefar	Snowflake Vale
Icemule Trace & Pinefar	Temple of Hope (The Abbey, Den of Rot)
Icemule Trace & Pinefar	The Rift
Icemule Trace & Pinefar	Thurfel's Island
Icemule Trace & Pinefar	Thurfel's Keep
Icemule Trace & Pinefar	Top of the World
Icemule Trace & Pinefar	Underground Tunnels
