room_id	want	title	near	reach_via	uid
26891	verify-location	[Bloodriven Village, Pewter Road]	Bloodriven Village	from RoomId(26887) reverse of Command("north")	no-uid
27621	verify-location	[Necropolis, Apse]	Caligos Isle	from RoomId(27620) reverse of Command("go passageway")	no-uid
25549	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25550) reverse of Command("north")	no-uid
25550	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25549) reverse of Command("south")	
25551	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25550) reverse of Command("east")	
25552	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25551) reverse of Command("northeast")	
25553	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25550) reverse of Command("west")	
25554	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25553) reverse of Command("southeast")	
25561	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25555) reverse of Command("southeast")	no-uid
25562	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25561) reverse of Command("southeast")	
25563	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25562) reverse of Command("southeast")	
25564	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25551) reverse of Command("south")	
25565	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25564) reverse of Command("east")	
25566	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25551) reverse of Command("southwest")	
25567	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25555) reverse of Command("east")	
25568	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25550) reverse of Command("south")	
25569	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25553) reverse of Command("northwest")	
25570	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25553) reverse of Command("south")	
25571	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25554) reverse of Command("south")	
25572	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25570) reverse of Command("west")	
25573	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25570) reverse of Command("south")	
25574	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25562) reverse of Command("west")	
25575	verify-location	[Underground Temple, Sunken Tomb]	Duskruin Arena	from RoomId(25555) reverse of Command("south")	no-uid
